Filename,N_train,Descriptors,R2_train,R2_train_std,RMSE_train,RMSE_train_std,N_CV,Q2_CV,Q2_CV_std,RMSE_CV,RMSE_CV_std,N_External,Q2_External,Q2_External_std,RMSE_External,RMSD_External_std
AtomPairs2DFingerprintCount.csv,861,216,0.9645,0.0014,0.2622,0.0057,861,0.7434,0.0059,0.7044,0.0090,370,0.7485,0.0110,0.4881,0.0313
AtomPairs2DFingerprinter.csv,861,247,0.9132,0.0062,0.4096,0.0175,861,0.6808,0.0061,0.7857,0.0108,370,0.6910,0.0117,0.5999,0.0373
EStateFingerprinter.csv,861,33,0.8928,0.0028,0.4553,0.0067,861,0.7004,0.0110,0.7610,0.0100,370,0.7093,0.0201,0.5634,0.0360
ExtendedFingerprinter.csv,861,1003,0.9578,0.0029,0.2854,0.0114,861,0.7404,0.0087,0.7084,0.0093,370,0.7519,0.0147,0.4810,0.0286
Fingerprinter.csv,861,1021,0.9576,0.0031,0.2861,0.0120,861,0.7370,0.0097,0.7130,0.0104,370,0.7498,0.0150,0.4851,0.0283
GraphOnlyFingerprinter.csv,861,982,0.9313,0.0042,0.3644,0.0131,861,0.7237,0.0099,0.7308,0.0104,370,0.7278,0.0132,0.5278,0.0249
KlekotaRothFingerprintCount.csv,861,786,0.9661,0.0011,0.2562,0.0053,861,0.7558,0.0060,0.6870,0.0067,370,0.7653,0.0135,0.4552,0.0283
KlekotaRothFingerprinter.csv,861,844,0.9592,0.0022,0.2810,0.0092,861,0.7541,0.0060,0.6895,0.0070,370,0.7608,0.0150,0.4637,0.0290
MACCSFingerprinter.csv,861,141,0.9484,0.0032,0.3157,0.0108,861,0.7498,0.0129,0.6953,0.0144,370,0.7586,0.0163,0.4680,0.0308
PubchemFingerprinter.csv,861,529,0.9523,0.0031,0.3036,0.0115,861,0.7559,0.0105,0.6868,0.0118,370,0.7653,0.0111,0.4552,0.0248
SubstructureFingerprintCount.csv,861,82,0.9536,0.0015,0.2994,0.0041,861,0.7423,0.0087,0.7057,0.0082,370,0.7487,0.0125,0.4869,0.0173
SubstructureFingerprinter.csv,861,80,0.9150,0.0018,0.4054,0.0058,861,0.7276,0.0073,0.7257,0.0070,370,0.7267,0.0138,0.5301,0.0286
