chemblId,STATUS,MW,LogP,nHAcc,nHDon
CHEMBL370037,active,252.269,3.2248,3,2
CHEMBL189073,intermediate,277.279,4.0592,4,2
CHEMBL365290,active,240.258,3.81942,3,2
CHEMBL191648,active,280.298,4.7001,2,2
CHEMBL184431,active,493.625,5.148,7,3
CHEMBL364551,active,433.027,4.5787,5,2
CHEMBL124482,active,558.563,7.4054,6,2
CHEMBL198410,active,289.693,4.1055,3,2
CHEMBL1496978,inactive,459.622,3.41342,9,1
CHEMBL1305485,intermediate,250.37,1.86629,7,0
CHEMBL1570659,inactive,328.368,1.6974,4,2
CHEMBL1331084,intermediate,496.493,5.3822,7,1
CHEMBL184448,active,260.676,4.1644,3,2
CHEMBL45068,active,274.272,2.3245,5,4
CHEMBL434502,active,593.201,5.04132,10,2
CHEMBL1628199,active,571.868,7.7305,5,2
CHEMBL123025,active,544.536,7.0153,6,2
CHEMBL153062,active,220.356,4.6853,1,1
CHEMBL1468708,intermediate,265.359,3.0179,4,1
CHEMBL1442416,intermediate,318.398,2.84722,4,2
CHEMBL1388271,intermediate,414.512,3.4489,7,1
CHEMBL1331872,inactive,337.429,5.24092,6,0
CHEMBL1401227,inactive,393.299,5.1555,6,0
CHEMBL1460126,inactive,326.377,3.3342,4,2
CHEMBL1499638,inactive,364.427,0.9947,5,3
CHEMBL1413557,intermediate,332.359,4.32622,4,1
CHEMBL1484998,inactive,326.739,4.1574,4,1
CHEMBL1608989,inactive,370.433,5.9618,4,1
CHEMBL1469743,inactive,314.322,1.8112,7,0
CHEMBL1538325,inactive,449.418,3.8828,5,1
CHEMBL1605393,inactive,394.434,4.26918,6,2
CHEMBL1384049,inactive,342.358,2.48712,6,0
CHEMBL188049,active,267.284,3.6345,4,2
CHEMBL1361641,inactive,385.29,4.37412,5,0
CHEMBL1489063,inactive,427.482,2.60239,7,2
CHEMBL1381495,inactive,469.883,4.403,6,1
CHEMBL1343011,intermediate,306.321,3.42472,5,0
CHEMBL1613068,intermediate,353.179,4.1093,5,0
CHEMBL1464837,inactive,451.479,3.34194,7,3
CHEMBL1349347,inactive,480.886,3.5023,8,2
CHEMBL1385373,inactive,489.915,5.6985,5,3
CHEMBL1573735,inactive,349.253,3.8534,3,2
CHEMBL1455258,intermediate,378.519,3.3499,4,1
CHEMBL1431555,intermediate,337.423,2.6499,4,1
CHEMBL1565187,inactive,434.455,5.3944,5,2
CHEMBL1597933,inactive,353.266,4.24192,5,1
CHEMBL1466882,inactive,239.325,2.08922,5,1
CHEMBL1313979,inactive,299.355,3.1284,5,1
CHEMBL1329455,inactive,242.235,0.092,6,0
CHEMBL1322939,active,424.526,2.89369,6,2
CHEMBL1480843,inactive,366.442,3.85122,5,1
CHEMBL1310614,inactive,334.466,3.8198,4,2
CHEMBL1535728,inactive,341.349,4.1698,5,0
CHEMBL1341057,inactive,380.535,3.74,4,1
CHEMBL1420411,inactive,538.025,5.3887,7,1
CHEMBL184372,active,479.598,4.9004,7,3
CHEMBL442037,intermediate,261.664,3.5594,4,2
CHEMBL512579,inactive,298.294,3.19364,5,3
CHEMBL124474,active,461.627,6.4834,5,2
CHEMBL231811,active,269.325,4.082,4,2
CHEMBL385801,active,300.789,4.8624,3,1
CHEMBL447111,inactive,246.262,3.17364,3,1
CHEMBL427496,active,550.636,5.8785,7,3
CHEMBL225404,active,324.258,3.3824,5,3
CHEMBL226269,active,463.574,7.07,5,1
CHEMBL1081361,active,318.844,4.8609,2,1
CHEMBL235496,active,421.424,3.9779,6,2
CHEMBL235497,active,417.461,4.14722,6,2
CHEMBL361762,intermediate,354.131,3.8162,5,2
CHEMBL184371,active,529.702,6.9542,6,2
CHEMBL188458,active,356.175,4.8217,4,2
CHEMBL361272,active,350.143,4.4107,4,2
CHEMBL241257,active,567.774,7.2555,4,3
CHEMBL396118,active,629.801,7.2471,6,2
CHEMBL59438,intermediate,237.258,3.313,3,2
CHEMBL150279,active,465.577,2.8495,8,3
CHEMBL365625,active,266.256,2.97208,5,2
CHEMBL365016,active,267.284,3.9391,4,2
CHEMBL179929,active,429.56,5.5732,4,0
CHEMBL470993,active,413.517,5.2183,4,1
CHEMBL511269,active,443.543,5.2269,5,1
CHEMBL469512,active,429.535,6.0419,3,0
CHEMBL470785,active,296.41,3.7068,2,2
