acdAcidicPka,acdBasicPka,acdLogd,acdLogp,alogp,chemblId,knownDrug,molecularFormula,molecularWeight,numRo5Violations,passesRuleOfThree,preferredCompoundName,rotatableBonds,smiles,species,stdInChiKey,synonyms,activity_comment,assay_chemblid,assay_description,assay_type,bioactivity_type,name_in_reference,operator,organism,parent_cmpd_chemblid,reference,target_chemblid,target_confidence,target_name,units,value,STATUS,SMILES_desalt
7.69,,0.33,0.5,3.31,CHEMBL370037,No,C16H12O3,252.26,0.0,No,,1.0,CC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,NEUTRAL,IOAPPLGKQYAVIJ-UHFFFAOYSA-N,,Unspecified,CHEMBL829337,Inhibition of human estrogen receptor alpha,B,IC50,30,=,Homo sapiens,CHEMBL370037,"Bioorg. Med. Chem. Lett., (2005) 15:12:3137",CHEMBL206,9,Estrogen receptor alpha,nM,6.0,active,CC1=C(c2ccc(O)cc2)C(=O)c2ccc(O)cc21
8.15,,4.06,4.12,3.86,CHEMBL189073,No,C17H11NO3,277.27,0.0,No,,1.0,Oc1ccc2c(noc2c1)c3cccc4ccc(O)cc34,NEUTRAL,UNFXWFVOAYBQPC-UHFFFAOYSA-N,,Unspecified,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,IC50,61,=,Homo sapiens,CHEMBL189073,"J. Med. Chem., (2004) 47:21:5021",CHEMBL206,9,Estrogen receptor alpha,nM,1727.0,intermediate,Oc1ccc2c(-c3cccc4ccc(O)cc34)noc2c1
9.3,,3.73,3.74,3.95,CHEMBL365290,No,C15H12O3,240.25,0.0,No,,1.0,Cc1cc(O)cc2cc(oc12)c3ccc(O)cc3,NEUTRAL,FUWUZPRNKPGRGX-UHFFFAOYSA-N,,Unspecified,CHEMBL832786,Binding affinity for human Estrogen receptor alpha,B,IC50,19,=,Homo sapiens,CHEMBL365290,"Bioorg. Med. Chem. Lett., (2004) 14:19:4925",CHEMBL206,9,Estrogen receptor alpha,nM,114.0,active,Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12
8.39,,5.06,5.11,4.53,CHEMBL191648,No,C18H13FO2,280.29,0.0,No,,2.0,Oc1cc(C=C)c2cc(ccc2c1)c3ccc(O)c(F)c3,NEUTRAL,KGKCPICEWFIBAD-UHFFFAOYSA-N,,Unspecified,CHEMBL831155,Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha expressed in Escherichia coli,B,IC50,71,=,Homo sapiens,CHEMBL191648,"J. Med. Chem., (2005) 48:12:3953",CHEMBL206,9,Estrogen receptor alpha,nM,527.0,active,C=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12
9.72,8.34,3.91,4.93,5.05,CHEMBL184431,No,C28H31NO5S,493.61,1.0,No,,7.0,OCC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)CC1,NEUTRAL,HEXSBPJUAVNGKL-WUFINQPMSA-N,,Unspecified,CHEMBL831072,Binding potency for human ER alpha,B,IC50,8,=,Homo sapiens,CHEMBL184431,"Bioorg. Med. Chem. Lett., (2004) 14:15:3865",CHEMBL206,9,Estrogen receptor alpha,nM,2.2,active,OCC1CCN(CCOc2ccc(C3Oc4ccc(O)cc4SC3c3ccc(O)cc3)cc2)CC1
3.82,,0.5,3.96,4.48,CHEMBL364551,No,C14H8Br2FNO4,433.02,0.0,No,,2.0,COc1c(Br)c(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,ACID,DPCGKGDOPBWHDL-UHFFFAOYSA-N,,Unspecified,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,IC50,138,=,Homo sapiens,CHEMBL364551,"J. Med. Chem., (2004) 47:21:5021",CHEMBL206,9,Estrogen receptor alpha,nM,559.0,active,COc1c(Br)c(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12
9.25,8.57,6.01,7.21,7.26,CHEMBL124482,No,C27H28BrNO3S2,558.55,2.0,No,,6.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,BASE,UTBCSHYTMNCDPU-SXOMAYOGSA-N,,Unspecified,CHEMBL677478,Binding affinity for human estrogen receptor alpha,B,IC50,4,=,Homo sapiens,CHEMBL124482,"Bioorg. Med. Chem. Lett., (2004) 14:14:3753",CHEMBL206,9,Estrogen receptor alpha,nM,5.0,active,Oc1ccc(C2Sc3cc(O)ccc3SC2c2ccc(OCCN3CCCCC3)c(Br)c2)cc1
7.25,2.88,4.09,4.79,4.35,CHEMBL198410,No,C15H9ClFNO2,289.69,0.0,No,,1.0,Oc1ccc2nc(cc(Cl)c2c1)c3ccc(O)c(F)c3,NEUTRAL,BATCSWBRXVCEJI-UHFFFAOYSA-N,,Unspecified,CHEMBL881884,Binding affinity for human Estrogen receptor alpha,B,IC50,11b,=,Homo sapiens,CHEMBL198410,"Bioorg. Med. Chem. Lett., (2005) 15:20:4520",CHEMBL206,9,Estrogen receptor alpha,nM,246.0,active,Oc1ccc2nc(-c3ccc(O)c(F)c3)cc(Cl)c2c1
7.82,0.59,4.11,4.12,2.61,CHEMBL1496978,No,C20H21N5O2S3,459.61,0.0,No,,7.0,CC1CC2=C(S1)C(=O)N(CCc3ccccc3)C(=N2)SCC(=O)Nc4nnc(C)s4,NEUTRAL,ZXSDKRCDHQMYOF-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID7970557,=,Homo sapiens,CHEMBL1496978,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,17543.88,inactive,Cc1nnc(NC(=O)CSc2nc3c(c(=O)n2CCc2ccccc2)SC(C)C3)s1
,,2.02,2.02,2.9,CHEMBL1305485,No,C7H10N2O2S3,250.36,0.0,No,,5.0,CCOC(=O)CSC1=NN(C)C(=S)S1,NEUTRAL,ZDEDDTGFWSAFBB-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID7967084,=,Homo sapiens,CHEMBL1305485,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,7983.25,intermediate,CCOC(=O)CSc1nn(C)c(=S)s1
1.99,,-2.89,0.35,1.1,CHEMBL1570659,No,C18H20N2O4,328.36,0.0,No,,2.0,OC(=O)C1Nc2c(cccc2C(=O)N3CCOCC3)C4C=CCC14,ACID,BAFWMUGYCDOMKF-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID7975783,=,Homo sapiens,CHEMBL1570659,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,15883.27,inactive,O=C(O)C1Nc2c(C(=O)N3CCOCC3)cccc2C2C=CCC12
8.67,2.01,5.23,5.24,4.39,CHEMBL1331084,No,C25H23F3N6O2,496.48,0.0,No,,5.0,FC(F)(F)c1cc(nc2c(cnn12)C(=O)Nc3cnn(c3)C45CC6CC(CC(C6)C4)C5)c7occc7,NEUTRAL,JROZBVPBTMTIPB-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID4255480,=,Homo sapiens,CHEMBL1331084,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,3639.79,intermediate,O=C(Nc1cnn(C23CC4CC(CC(C4)C2)C3)c1)c1cnn2c(C(F)(F)F)cc(-c3ccco3)nc12
